"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,64","0,01096725","2,98125","0,64","0,01176198","2,98125","0,64","0,005245209","2,98125","0,64","0,004927317","2,981375","0,64","0,001748403","2,981375","0,64","0,004132589","2,98125","0,64","0,007311503","2,98125","0,64","0,01096725","2,98125","0,64","0,00890096","2,98125"
"0,65","0,01239777","3,031125","0,65","0,01414617","3,031","0,65","0,004927317","3,031125","0,65","0,007311503","3,031","0,65","0,002066294","3,031","0,65","0,004609426","3,031125","0,65","0,004927317","3,031125","0,65","0,008106232","3,031","0,65","0,00890096","3,031125"
"0,66","0,01096725","3,08125","0,66","0,01557668","3,081375","0,66","0,006834666","3,081375","0,66","0,005245209","3,08125","0,66","0,001430511","3,08125","0,66","0,005404154","3,081375","0,66","0,003019969","3,08125","0,66","0,005722046","3,08125","0,66","0,008424123","3,081375"
"0,67","0,009695689","3,13125","0,67","0,01446406","3,131125","0,67","0,005722046","3,13125","0,67","0,00445048","3,13125","0,67","0,0004768372","3,13125","0,67","0,003814697","3,131125","0,67","0,004132589","3,13125","0,67","0,004132589","3,13125","0,67","0,00890096","3,13125"
"0,68","0,00890096","3,18125","0,68","0,01398722","3,18125","0,68","0,001430511","3,18125","0,68","0,005245209","3,18125","0,68","0,0001589457","3,18125","0,68","0,003655751","3,18125","0,68","0,005404154","3,181375","0,68","0,003814697","3,18125","0,68","0,009695689","3,181375"
"0,69","0,009377797","3,231125","0,69","0,01366933","3,231125","0,69","0,001271566","3,23125","0,69","0,00222524","3,231125","0,69","0,0004768372","3,231125","0,69","0,005722046","3,23125","0,69","0,005404154","3,231125","0,69","0,006834666","3,23125","0,69","0,008583069","3,231125"
"0,7","0,01160304","3,28125","0,7","0,01160304","3,28125","0,7","0,003655751","3,28125","0,7","0,002066294","3,28125","0,7","0","3,28125","0,7","0,006834666","3,281125","0,7","0,005722046","3,28125","0,7","0,01049042","3,281125","0,7","0,007311503","3,28125"
"0,71","0,01239777","3,33125","0,71","0,01001358","3,33125","0,71","0,005245209","3,33125","0,71","0,006198883","3,33125","0,71","0,0004768372","3,33125","0,71","0,006834666","3,33125","0,71","0,006834666","3,33125","0,71","0,01176198","3,33125","0,71","0,006834666","3,33125"
"0,72","0,01096725","3,38125","0,72","0,009695689","3,381375","0,72","0,007629395","3,38125","0,72","0,006834666","3,38125","0,72","0,002861023","3,38125","0,72","0,006993612","3,381375","0,72","0,006834666","3,38125","0,72","0,0128746","3,38125","0,72","0,003814697","3,38125"
"0,73","0,01160304","3,43125","0,73","0,009218852","3,431125","0,73","0,007629395","3,43125","0,73","0,006198883","3,43125","0,73","0,005245209","3,43125","0,73","0,008106232","3,431125","0,73","0,006516775","3,43125","0,73","0,01478195","3,431125","0,73","0","3,431125"
