sealant,liner,side,liner_label,side_label,file,n_replicates,mean_release_cN_25mm_mean,mean_release_cN_25mm_std,mean_release_cN_25mm_median,noise_std_cN_25mm_median,noise_std_cN_25mm_max,noise_max_abs_cN_25mm_median,noise_max_abs_cN_25mm_max,peaks_0.5cN_mean,peaks_0.5cN_median,peaks_0.5cN_sum,peaks_0.5cN_std,peaks_1cN_mean,peaks_1cN_median,peaks_1cN_sum,peaks_1cN_std,peaks_1.4cN_mean,peaks_1.4cN_median,peaks_1.4cN_sum,peaks_1.4cN_std,peaks_2cN_mean,peaks_2cN_median,peaks_2cN_sum,peaks_2cN_std,peaks_3cN_mean,peaks_3cN_median,peaks_3cN_sum,peaks_3cN_std
T1EN,dolpap,internal,Dolpap,inner,20250516_T1EN_dolpap_internal.csv,10,7.210819945492666,1.2814712494784335,6.7007021459449785,0.0636146051814027,0.11279664750636524,0.16789981251503208,0.3159616543503274,9.2,1.0,92,15.949921629901509,1.6,0.0,16,4.402019738458447,0.9,0.0,9,2.5144029554194813,0.5,0.0,5,1.2692955176439846,0.1,0.0,1,0.31622776601683794
T1EN,rossella,external,Rossella,outer,20250512_T1EN_rossella_external.csv,10,25.924933299721836,9.258326430274362,24.4356232510875,0.055696912272419505,0.07465319028730141,0.14872262991967217,0.19184359668279663,73.9,81.0,739,26.434195025887714,40.5,38.0,405,20.99867720701579,24.1,22.5,241,15.4879881772223,12.7,10.0,127,11.38273546502187,5.7,3.0,57,5.926400443964466
T1EN,rossella,internal,Rossella,inner,20250514_T1EN_rossella_internal.csv,10,16.449651348204537,4.783743270303325,16.361638996963624,0.07121800712429906,0.09155968398563766,0.16719564620345756,0.21686232339704273,35.5,35.5,355,22.79497995417217,8.6,7.0,86,8.783823515733655,3.3,1.0,33,4.423422506008969,0.6,0.0,6,1.07496769977314,0.1,0.0,1,0.31622776601683794
T2E,crosil42,external,Crosil 42,outer,20250409_T2E_crosil42_external.csv,11,8.323346718932976,1.1696504242211812,8.256980821791547,0.07002523421202451,0.12018971099621192,0.17268409757070086,0.3535229225508491,27.363636363636363,19.0,301,20.819571212072198,12.090909090909092,11.0,133,10.949470721953142,6.545454545454546,4.0,72,8.536552423123007,3.727272727272727,1.0,41,7.01556710595671,2.4545454545454546,0.0,27,6.006057548236386
T2E,crosil42,internal,Crosil 42,inner,20250411_T2E_crosil42_internal.csv,10,4.569257491163336,0.49424385531827103,4.4048015815835395,0.07365978328383713,0.10070773021561544,0.1715051546039183,0.2314011742640093,11.6,5.0,116,13.777598565142702,1.1,0.0,11,1.66332999331662,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
T2E,dolpap,external,Dolpap,outer,20250509_T2E_dolpap_external.csv,10,6.997208157044035,0.33769868284403637,6.951519760044315,0.05798291043545382,0.11647764853571639,0.15222573280623367,0.4008764666785029,17.2,6.5,172,22.56742982461425,5.4,1.0,54,11.403703102257813,3.4,0.5,34,8.044321668799123,1.0,0.0,10,1.7638342073763937,0.6,0.0,6,0.9660917830792959
T2E,dolpap,internal,Dolpap,inner,20250507_T2E_dolpap_internal.csv,10,7.042853829660866,0.7228336743855674,7.049803245455788,0.06515647379286546,0.09131263648357589,0.1715119659067355,0.2307070555907226,52.9,28.5,529,61.74580507568465,25.5,6.0,255,37.880660559769076,16.2,0.5,162,29.835847193900456,8.6,0.5,86,20.078733913161845,3.5,0.0,35,8.708233651742086
T2E,rossella,external,Rossella,outer,20250416_T2E_rossella_external.csv,10,10.49057073832898,0.8131480992743614,10.312385509644422,0.0630536183084956,0.21986680218534002,0.16154206034265875,0.6510999375656634,10.1,9.5,101,7.866242926440664,1.0,0.0,10,2.4944382578492945,0.5,0.0,5,1.2692955176439848,0.2,0.0,2,0.6324555320336759,0.1,0.0,1,0.31622776601683794
T2E,rossella,internal,Rossella,inner,20250414_T2E_rossella_internal.csv,10,10.778983756695064,1.526528334515112,10.56694989798642,0.06602224944483177,0.12993847173915984,0.17695282508311808,0.3722983518106543,25.2,14.0,252,21.998989875800106,11.6,1.5,116,14.400617270720646,8.7,0.0,87,12.419071355513395,5.8,0.0,58,8.297255235585105,2.0,0.0,20,3.7416573867739418
T2EN,crosil42,external,Crosil 42,outer,20250523_T2EN_crosil42_external.csv,10,8.287700938381699,0.8226064200640858,8.034562461171177,0.07218788270141283,0.16915670417181353,0.18475101640881464,0.4943762243128454,41.3,40.0,413,14.72752525036029,15.7,15.0,157,10.198583779677996,7.0,5.0,70,5.962847939999438,1.8,1.5,18,1.873795909674026,0.6,0.0,6,1.07496769977314
